0	 importante	1719
1	 bueno	3333
2	 profesional	2791
3	 interesante	4513
4	 particular	2446
5	 peligroso	10455
6	 fiable	19465
7	 a	320
8	 seguro	3105
9	 de	313
10	 bien	966
11	 agradable	10096
12	 responsable	2995
13	 discreto	28321
14	 buen	1275
15	 conveniente	11299
16	 amable	16643
17	 recomendable	12072
18	 legal	4356
19	 serio	7662
20	 buena	2090
21	 honrado	43176
22	 útil	6753
23	 tranquilo	11532
24	 atractivo	9888
25	 feliz	6440
26	 agresivo	25414
27	 inteligente	9861
28	 satisfecho	12614
