0	 amable	9026
1	 divertido	8297
2	 agradable	6013
3	 bueno	2562
4	 cariñosa	28897
5	 buena	1692
6	 duro	5382
7	 feliz	5036
8	 fuerte	2843
9	 cariñoso	36722
10	 productivo	13881
11	 cuidadoso	37675
12	 positiva	8581
13	 fácil	2014
14	 divertida	10971
15	 útil	5669
16	 gratificante	31041
17	 servicial	28077
18	 eficiente	8031
19	 respetuoso	28066
20	 importante	1387
21	 educado	31339
22	 inteligente	7952
23	 especial	1260
24	 diferente	3690
25	 linda	14313
26	 educada	38519
27	 profesional	2592
28	 bien	763
