	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.013432973995804787	7378	0	19	male	VMN	29	decir
1	1	0.006440049968659878	119	0	19	male	Fia	28	¿
2	2	0.0063988640904426575	2541	0	19	male	PP	27	él
3	3	0.006253737956285477	117	0	19	male	NC	26	»
4	4	0.006113824434578419	12077	0	19	male	VMN	25	obtener
5	5	0.005351422354578972	13715	0	19	male	AQ	24	necesario
6	6	0.004937368910759687	549	0	19	male	DD	23	este
7	7	0.004764239769428968	4620	0	19	male	NC	22	fútbol
8	8	0.004753531888127327	1757	0	19	male	AQ	21	mayor
9	9	0.004694393835961819	11367	0	19	male	AQ	20	independiente
10	10	0.003318621078506112	546	0	19	male	RG	19	más
11	11	0.0032742065377533436	7687	0	19	male	AQ	18	latino
12	12	0.003212645882740617	5841	0	19	male	AQ	17	posible
13	13	0.003065323457121849	7039	0	19	male	AQ	16	unico
14	14	0.002922057406976819	7749	0	19	male	AQ	15	joven
15	15	0.002905491041019559	1039	0	19	male	PI	14	uno
16	16	0.002903704298660159	3997	0	19	male	AQ	13	libre
17	17	0.002874834695830941	1626	0	19	male	AQ	12	italiano
18	18	0.0027529478538781404	6308	0	19	male	NC	11	hombre
19	19	0.002709812019020319	7728	0	19	male	AQ	10	unica
20	20	0.0026788164395838976	1811	0	19	male	RG	9	antes
21	21	0.0026038174983114004	2552	0	19	male	NC	8	autor
22	22	0.0025630875024944544	2206	0	19	male	PP	7	yo
23	23	0.0024848016910254955	5671	0	19	male	Fz	6	##²
24	24	0.002476450754329562	2882	0	19	male	PP	5	ella
25	25	0.0023937541991472244	11428	0	19	male	AQ	4	buena
26	26	0.0023615837562829256	4356	0	19	male	AQ	3	igual
27	27	0.0023412301670759916	4942	0	19	male	NC	2	ricardo
28	28	0.002335447585210204	10393	0	19	male	AQ	1	nacido
0	0	0.05422648414969444	8711	1	19	male	AQ	29	negro
1	1	0.04216422140598297	15220	1	19	male	AQ	28	rojo
2	2	0.019956372678279877	7746	1	19	male	AQ	27	fuerte
3	3	0.01842656172811985	7378	1	19	male	VMN	26	decir
4	4	0.01756598800420761	9642	1	19	male	AQ	25	blanco
5	5	0.01690991409122944	9340	1	19	male	AQ	24	sencillo
6	6	0.01597028225660324	8510	1	19	male	AQ	23	azul
7	7	0.01507983636111021	3003	1	19	male	AQ	22	alto
8	8	0.012002800591289997	5560	1	19	male	NC	21	bee
9	9	0.011148426681756973	16716	1	19	male	AQ	20	duro
10	10	0.01072958204895258	13900	1	19	male	AQ	19	buen
11	11	0.010045786388218403	5949	1	19	male	AQ	18	verde
12	12	0.009995872154831886	16647	1	19	male	AQ	17	cierto
13	13	0.00906109157949686	13429	1	19	male	AQ	16	corto
14	14	0.008560272864997387	1072	1	19	male	AQ	15	grande
15	15	0.007851489819586277	3341	1	19	male	AQ	14	simple
16	16	0.007315752562135458	15342	1	19	male	AQ	13	brillante
17	17	0.007026870734989643	4356	1	19	male	AQ	12	igual
18	18	0.006816118489950895	11190	1	19	male	AQ	11	gris
19	19	0.006714983377605677	1693	1	19	male	AQ	10	importante
20	20	0.006540759466588497	11428	1	19	male	AQ	9	buena
21	21	0.0063777947798371315	9163	1	19	male	AQ	8	humano
22	22	0.005872214678674936	13715	1	19	male	AQ	7	necesario
23	23	0.005689659621566534	9075	1	19	male	AQ	6	diferente
24	24	0.005384516902267933	7039	1	19	male	AQ	5	unico
25	25	0.00534607470035553	7117	1	19	male	NC	4	cabeza
26	26	0.005129166413098574	19108	1	19	male	AQ	3	dulce
27	27	0.005115097854286432	3932	1	19	male	AQ	2	menor
28	28	0.005014065653085709	5355	1	19	male	AQ	1	conform
0	0	0.04291543737053871	1626	2	19	male	AQ	29	italiano
1	1	0.028073834255337715	10405	2	19	male	NC	28	periodista
2	2	0.026592917740345	8428	2	19	male	NC	27	futbolista
3	3	0.023708848282694817	11976	2	19	male	AQ	26	sacerdote
4	4	0.020730849355459213	5292	2	19	male	NC	25	escritor
5	5	0.020276477560400963	10635	2	19	male	AQ	24	religioso
6	6	0.019815001636743546	10393	2	19	male	AQ	23	nacido
7	7	0.009705740958452225	12866	2	19	male	AQ	22	mexicano
8	8	0.009150535799562931	112	2	19	male	AQ	21	°
9	9	0.009097765199840069	10782	2	19	male	AQ	20	ciclista
10	10	0.008738807402551174	3786	2	19	male	AQ	19	daily
11	11	0.008210931904613972	12583	2	19	male	AQ	18	griego
12	12	0.008187969215214252	5638	2	19	male	AQ	17	compositor
13	13	0.007838603109121323	16995	2	19	male	AQ	16	turco
14	14	0.007615950424224138	7801	2	19	male	AQ	15	derecho
