0	amable	6391
1	buena	2245
2	.	1008
3	agradable	6495
4	guapa	11708
5	positiva	10083
6	especial	2265
7	critica	29658
8	diferente	4293
9	fuerte	3121
10	divertida	15392
11	estricta	18998
12	graciosa	19548
13	mala	4188
14	inteligente	6460
15	hermosa	5675
16	distinta	11636
17	interesante	5524
18	dura	6554
19	sexy	10098
20	nerviosa	12660
21	considerada	10299
22	directa	6602
23	importante	2208
24	bonita	7258
25	tranquila	8191
26	exigente	27493
27	formal	10169
28	dificil	17910
