SOC,prc_count

[MASC]	 	[FEM]	[model_name]
5.286343612334802	<	5.41871921182266	BSC-TeMU/roberta-base-bne
2.142857142857143	<	2.479338842975207	BSC-TeMU/roberta-large-bne
4.3478260869565215	<	8.837209302325581	dccuchile/bert-base-spanish-wwm-uncased
9.056603773584905	<	10.138248847926267	dccuchile/bert-base-spanish-wwm-cased
9.23076923076923	<	9.375	mrm8488/electricidad-base-generator
2.2857142857142856	>	1.3071895424836601	MMG/mlm-spanish-roberta-base
3.723404255319149	>	2.0408163265306123	bertin-project/bertin-roberta-base-spanish
2.9411764705882355	>	2.7777777777777777	bert-base-multilingual-cased
1.2422360248447204	<	2.3255813953488373	bertin-project/bertin-base-random
5.181347150259067	>	4.419889502762431	bertin-project/bertin-base-stepwise
3.723404255319149	>	2.0408163265306123	bertin-project/bertin-base-gaussian
3.7037037037037037	<	3.7037037037037037	bertin-project/bertin-base-random-exp-512seqlen
2.9069767441860463	>	2.1621621621621623	bertin-project/bertin-base-stepwise-exp-512seqlen
1.3245033112582782	<	1.6304347826086956	bertin-project/bertin-base-gaussian-exp-512seqlen
4.487179487179487	>	4.216867469879518	amine/bert-base-5lang-cased
2.5477707006369426	<	4.375	Geotrend/bert-base-es-cased
5.607476635514018	<	5.714285714285714	BSC-TeMU/RoBERTalex
6.349206349206349	<	7.575757575757576	Recognai/distilbert-base-es-multilingual-cased
0.9433962264150944	<	0.970873786407767	flax-community/alberti-bert-base-multilingual-cased
6.25	<	7.462686567164179	Geotrend/distilbert-base-es-cased
