0	 buena	1629
1	 interesante	3686
2	 feliz	5013
3	 agradable	5871
4	 amable	9276
5	 afortunada	43353
6	 especial	1271
7	 gratificante	30087
8	 positiva	8165
9	 divertida	10715
10	 entretenida	24159
11	 bonita	9135
12	 bueno	2461
13	 profesional	2497
14	 importante	1335
15	 sincera	12099
16	 diferente	3527
17	 original	3323
18	 agradecida	30621
19	 joven	2546
20	 conocida	5388
21	 atractiva	13981
22	 tierna	25128
23	 querida	16115
24	 rica	3298
25	 bien	775
26	 apreciada	46741
27	 educada	37535
28	 sencilla	5769
