	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.013432973995804787	7378	0	19	male	VMN	10	decir
1	1	0.006440049968659878	119	0	19	male	Fia	9	¿
2	2	0.0063988640904426575	2541	0	19	male	PP	8	él
3	3	0.006253737956285477	117	0	19	male	NC	7	»
4	4	0.006113824434578419	12077	0	19	male	VMN	6	obtener
5	5	0.005351422354578972	13715	0	19	male	AQ	5	necesario
6	6	0.004937368910759687	549	0	19	male	DD	4	este
7	7	0.004764239769428968	4620	0	19	male	NC	3	fútbol
8	8	0.004753531888127327	1757	0	19	male	AQ	2	mayor
9	9	0.004694393835961819	11367	0	19	male	AQ	1	independiente
0	0	0.05422648414969444	8711	1	19	male	AQ	10	negro
1	1	0.04216422140598297	15220	1	19	male	AQ	9	rojo
2	2	0.019956372678279877	7746	1	19	male	AQ	8	fuerte
3	3	0.01842656172811985	7378	1	19	male	VMN	7	decir
4	4	0.01756598800420761	9642	1	19	male	AQ	6	blanco
5	5	0.01690991409122944	9340	1	19	male	AQ	5	sencillo
6	6	0.01597028225660324	8510	1	19	male	AQ	4	azul
7	7	0.01507983636111021	3003	1	19	male	AQ	3	alto
8	8	0.012002800591289997	5560	1	19	male	NC	2	bee
9	9	0.011148426681756973	16716	1	19	male	AQ	1	duro
0	0	0.04291543737053871	1626	2	19	male	AQ	10	italiano
1	1	0.028073834255337715	10405	2	19	male	NC	9	periodista
2	2	0.026592917740345	8428	2	19	male	NC	8	futbolista
3	3	0.023708848282694817	11976	2	19	male	AQ	7	sacerdote
4	4	0.020730849355459213	5292	2	19	male	NC	6	escritor
5	5	0.020276477560400963	10635	2	19	male	AQ	5	religioso
6	6	0.019815001636743546	10393	2	19	male	AQ	4	nacido
7	7	0.009705740958452225	12866	2	19	male	AQ	3	mexicano
8	8	0.009150535799562931	112	2	19	male	AQ	2	°
9	9	0.009097765199840069	10782	2	19	male	AQ	1	ciclista
0	0	0.01833266019821167	3760	3	19	male	NC	10	pablo
1	1	0.014544184319674969	1812	3	19	male	AQ	9	pedro
2	2	0.01254433486610651	9425	3	19	male	NC	8	gustavo
3	3	0.009884721599519253	5871	3	19	male	AQ	7	javier
4	4	0.009369641542434692	2243	3	19	male	AQ	6	tony
5	5	0.008781514130532742	12456	3	19	male	NC	5	rodolfo
6	6	0.00830913707613945	1324	3	19	male	AQ	4	antonio
7	7	0.007727253250777721	4773	3	19	male	AQ	3	alfonso
8	8	0.007015743758529425	5011	3	19	male	NC	2	felipe
9	9	0.006993625778704882	6053	3	19	male	NC	1	alejandro
0	0	0.025126054883003235	8510	4	19	male	AQ	10	azul
1	1	0.01771942898631096	4356	4	19	male	AQ	9	igual
2	2	0.01644790917634964	119	4	19	male	NC	8	¿
3	3	0.0143488310277462	8711	4	19	male	AQ	7	negro
4	4	0.010860026814043522	2206	4	19	male	PP	6	yo
5	5	0.009571416303515434	107	4	19	male	Faa	5	¡
6	6	0.009296144358813763	13900	4	19	male	AQ	4	buen
7	7	0.009132817387580872	10393	4	19	male	AQ	3	nacido
8	8	0.008712430484592915	15220	4	19	male	AQ	2	rojo
9	9	0.008618663065135479	7378	4	19	male	VMN	1	decir
0	0	0.03014843910932541	112	5	19	male	AQ	10	°
1	1	0.025764379650354385	3800	5	19	male	NC	9	profesor
2	2	0.013169088400900364	7232	5	19	male	AQ	8	titular
3	3	0.009073789231479168	119	5	19	male	Fia	7	¿
4	4	0.007893179543316364	6131	5	19	male	RG	6	actualmente
5	5	0.006954899989068508	9425	5	19	male	NC	5	gustavo
6	6	0.006385998334735632	6769	5	19	male	AQ	4	##cano
7	7	0.005937463138252497	3197	5	19	male	NC	3	cargo
8	8	0.005640699528157711	7246	5	19	male	NC	2	doctor
9	9	0.0054259528405964375	10393	5	19	male	AQ	1	nacido
0	0	0.019017353653907776	112	6	19	male	AQ	10	°
1	1	0.010417544282972813	1812	6	19	male	AQ	9	pedro
2	2	0.00931429211050272	7983	6	19	male	NC	8	maestro
3	3	0.008709988556802273	10153	6	19	male	AQ	7	tenor
4	4	0.006707835476845503	1324	6	19	male	AQ	6	antonio
5	5	0.006278375629335642	119	6	19	male	Fia	5	¿
6	6	0.006089373026043177	7378	6	19	male	VMN	4	decir
7	7	0.005217251367866993	4338	6	19	male	AQ	3	conocido
8	8	0.004867327865213156	117	6	19	male	AQ	2	»
9	9	0.00485276710242033	1757	6	19	male	AQ	1	mayor
0	0	0.025655502453446388	7378	7	19	male	VMN	10	decir
1	1	0.02558773383498192	13715	7	19	male	AQ	9	necesario
2	2	0.015607493929564953	16647	7	19	male	AQ	8	cierto
3	3	0.013292551971971989	7039	7	19	male	AQ	7	unico
4	4	0.012389341369271278	11367	7	19	male	AQ	6	independiente
5	5	0.011638765223324299	3932	7	19	male	AQ	5	menor
6	6	0.010232232511043549	16749	7	19	male	AQ	4	activo
7	7	0.009892298839986324	4356	7	19	male	AQ	3	igual
8	8	0.009770707227289677	3003	7	19	male	AQ	2	alto
9	9	0.009332267567515373	118	7	19	male	AQ	1	½
0	0	0.029947971925139427	7246	8	19	male	NC	10	doctor
1	1	0.02312183566391468	112	8	19	male	AQ	9	°
2	2	0.013617784716188908	7232	8	19	male	AQ	8	titular
3	3	0.008790683932602406	119	8	19	male	Fia	7	¿
4	4	0.007494604215025902	10393	8	19	male	AQ	6	nacido
5	5	0.006013077218085527	3800	8	19	male	NC	5	profesor
6	6	0.004974997136741877	7378	8	19	male	VMN	4	decir
7	7	0.004635852295905352	8694	8	19	male	AQ	3	vasco
8	8	0.004621012136340141	10405	8	19	male	AQ	2	periodista
9	9	0.004243869334459305	4338	8	19	male	AQ	1	conocido
0	0	0.024734383448958397	112	9	19	male	AQ	10	°
1	1	0.009423329494893551	8321	9	19	male	AQ	9	blanco
