Invisible_+,prc_count

[MASC]	 	[FEM]	[model_name]
45.14563106796116	>	43.01075268817204	BSC-TeMU/roberta-base-bne
55.2	>	54.45544554455446	BSC-TeMU/roberta-large-bne
37.66233766233766	>	35.05154639175258	dccuchile/bert-base-spanish-wwm-uncased
39.41908713692946	>	37.82383419689119	dccuchile/bert-base-spanish-wwm-cased
36.51685393258427	<	36.7816091954023	mrm8488/electricidad-base-generator
48.76543209876543	>	46.715328467153284	MMG/mlm-spanish-roberta-base
36.627906976744185	>	36.51685393258427	bertin-project/bertin-roberta-base-spanish
32.28346456692913	>	29.32330827067669	bert-base-multilingual-cased
48.29931972789116	>	42.857142857142854	bertin-project/bertin-base-random
36.04651162790697	>	32.33532934131737	bertin-project/bertin-base-stepwise
36.627906976744185	>	36.51685393258427	bertin-project/bertin-base-gaussian
43.93063583815029	>	43.455497382198956	bertin-project/bertin-base-random-exp-512seqlen
45.333333333333336	>	40.963855421686745	bertin-project/bertin-base-stepwise-exp-512seqlen
35.55555555555556	>	34.5679012345679	bertin-project/bertin-base-gaussian-exp-512seqlen
30.215827338129497	>	29.45205479452055	amine/bert-base-5lang-cased
30.93525179856115	>	28.767123287671232	Geotrend/bert-base-es-cased
28.571428571428573	<	29.473684210526315	BSC-TeMU/RoBERTalex
26.363636363636363	>	22.608695652173914	Recognai/distilbert-base-es-multilingual-cased
30.208333333333332	<	31.57894736842105	flax-community/alberti-bert-base-multilingual-cased
26.363636363636363	>	23.076923076923077	Geotrend/distilbert-base-es-cased
