Reject_Other_Status,points

[MASC]	 	[FEM]	[model_name]
825	>	763	BSC-TeMU/roberta-base-bne
599	>	325	BSC-TeMU/roberta-large-bne
1041	>	957	dccuchile/bert-base-spanish-wwm-uncased
885	>	577	dccuchile/bert-base-spanish-wwm-cased
941	<	1030	mrm8488/electricidad-base-generator
899	>	401	MMG/mlm-spanish-roberta-base
2108	<	2192	bertin-project/bertin-roberta-base-spanish
787	>	735	bert-base-multilingual-cased
780	>	551	bertin-project/bertin-base-random
1758	>	1440	bertin-project/bertin-base-stepwise
2108	<	2192	bertin-project/bertin-base-gaussian
874	>	870	bertin-project/bertin-base-random-exp-512seqlen
1045	<	1123	bertin-project/bertin-base-stepwise-exp-512seqlen
1741	>	1611	bertin-project/bertin-base-gaussian-exp-512seqlen
885	>	764	amine/bert-base-5lang-cased
808	>	746	Geotrend/bert-base-es-cased
45	<	145	mrm8488/RuPERTa-base
718	>	412	BSC-TeMU/RoBERTalex
188	<	228	Recognai/distilbert-base-es-multilingual-cased
2184	<	2461	flax-community/alberti-bert-base-multilingual-cased
207	<	247	Geotrend/distilbert-base-es-cased
