David	3
Dios	9
Fernando	1
Jose	4
José	10
Juan	14
Pablo	8
Pedro	7
agradable	14
amigo	13
atractivo	7
bonito	41
buen	5
bueno	29
buscado	8
como	64
completo	15
conocido	17
curioso	17
deportista	3
destacado	6
diferente	13
difícil	20
divertido	32
dulce	4
duro	1
débil	21
entretenido	2
especial	11
espectacular	3
feliz	46
fuerte	29
fácil	20
gracioso	1
grande	28
guapo	43
hermoso	9
hombre	57
humano	29
importante	33
inteligente	9
interesante	35
joven	15
mejor	8
mujer	21
nuestro	16
otro	19
padre	5
parecido	13
peligroso	2
persona	38
positivo	10
querido	10
quien	20
quién	15
realmente	9
rápido	19
todo	1
útil	12
