Alemania	13
California	22
Chicago	20
Columbia	3
Francia	17
Hacienda	12
Harvard	16
Inglaterra	19
Italia	6
Londres	25
París	23
Roma	8
Suiza	10
abogado	23
agricultura	24
arquitecto	9
asistente	15
ayudante	11
banco	1
bancos	15
blanco	1
botones	4
buena	15
camarera	47
camarero	42
campo	19
casa	5
cerca	11
chofer	8
cierta	16
civil	13
cocinero	12
contabilidad	4
correcta	5
desconocida	17
diferente	1
duro	16
ella	33
enfermera	8
esta	19
excelente	9
extraordinaria	21
ferrocarriles	18
finanzas	9
guardaespaldas	27
humana	23
humilde	6
importante	20
informática	2
maravilla	13
mecánico	38
medicina	7
mensajero	18
militar	12
modelo	12
negro	6
niñera	22
niño	14
noble	10
noche	50
nuevo	22
parto	15
peligrosa	3
periodista	7
política	14
portero	8
privada	24
profesión	24
profesor	33
real	7
respetable	4
sagrada	18
secretaria	29
secretario	3
sencilla	11
simple	2
suya	25
todo	4
verdad	22
ésta	13
