Albert	21
Barcelona	3
Carlos	23
Dios	36
Fernando	15
Franco	1
Javier	2
Joan	20
Jordi	17
Marc	7
Messi	3
Pablo	8
Pedro	26
Superman	9
Xavi	5
abogado	45
actor	32
afortunado	23
agradable	23
alemán	22
alto	16
alumno	13
amable	44
argentino	5
arquitecto	39
artista	11
atractivo	31
autónomo	24
aventurero	17
bajista	13
bello	3
bien	4
bilingüe	39
bonito	26
boxeador	17
buena	10
bueno	105
buenísimo	30
caballero	2
cantante	49
capaz	12
cariñoso	12
catalán	46
católico	9
chulo	5
cierto	23
competente	13
competitivo	14
conocido	8
culpable	23
curioso	13
deportista	21
despedido	21
diferente	61
distinto	14
divertido	33
dulce	3
duro	19
elegante	1
empresario	8
encantador	40
esclavo	14
escritor	17
español	138
especial	33
este	12
estudiante	25
estupendo	15
excelente	44
extranjero	17
familiar	12
famoso	12
feliz	202
fiel	3
fotógrafo	11
francés	37
friki	3
fuerte	24
futbolista	3
ganador	18
genial	97
gilipollas	46
gracioso	10
grande	67
gratis	38
guapa	5
guapo	150
guitarrista	17
hermoso	1
hombre	64
homosexual	92
honesto	21
honrado	4
humano	44
importante	30
imprescindible	4
independentista	14
informático	10
ingeniero	16
inmortal	15
inocente	29
inteligente	55
interesante	28
invisible	34
italiano	34
joven	50
liberado	6
liberal	1
libre	98
licenciado	19
lindo	16
listo	26
luchador	24
macho	7
maestro	8
maravilloso	26
mayor	34
mejor	7
menor	1
millonario	5
modelo	22
mujer	18
médico	39
músico	54
normal	30
nuestro	15
nuevo	15
optimista	29
orgulloso	20
original	15
otro	35
padre	38
pequeño	48
perfecto	100
periodista	37
pintor	18
pobre	10
poderoso	16
poeta	2
policía	4
popular	13
positivo	7
profesional	43
profesor	31
propietario	17
prudente	8
querido	9
real	15
recomendable	2
republicano	2
responsable	54
rico	17
romántico	24
rápido	42
sabio	20
sacerdote	10
satisfecho	23
seguro	25
sencillo	6
sexy	1
simpático	38
sincero	23
socialista	15
soltero	2
tonto	34
trabajador	38
tímido	10
universitario	16
usted	22
valiente	9
veloz	5
voluntario	6
zurdo	8
único	43
