0	importante	2208
1	inteligente	6460
2	brillante	7057
3	bueno	1491
4	amable	6391
5	rico	5761
6	util	2007
7	sabio	14195
8	joven	3264
9	poderoso	9681
10	respetado	22581
11	bien	1214
12	valioso	14418
13	afortunado	14751
14	atractivo	11660
15	peligroso	6603
16	interesante	5524
17	agradable	6495
18	satisfactorio	24568
19	exitoso	16393
20	serio	2742
21	impresionado	18193
22	arrogante	20784
23	raro	5090
24	listo	3765
25	malo	4014
26	bello	12202
27	prometedor	29613
28	superior	3577
