	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.019736401736736298	6933	0	10	male	AQ	29	malo
1	1	0.0169102493673563	3561	0	10	male	AQ	28	humano
2	2	0.016601230949163437	1910	0	10	male	NC	27	dios
3	3	0.014427952468395233	2562	0	10	male	AQ	26	bueno
4	4	0.013271297328174114	1834	0	10	male	NC	25	amor
5	5	0.010745723731815815	2619	0	10	male	AQ	24	grande
6	6	0.010235185734927654	4869	0	10	male	AQ	23	verde
7	7	0.010076657868921757	1482	0	10	male	NC	22	agua
8	8	0.009457950480282307	2843	0	10	male	AQ	21	fuerte
9	9	0.009023401886224747	3641	0	10	male	AQ	20	negro
10	10	0.008941926062107086	4195	0	10	male	NC	19	oro
11	11	0.00619236147031188	4120	0	10	male	AQ	18	perfecto
12	12	0.0058961049653589725	1962	0	10	male	NC	17	verdad
13	13	0.005545912776142359	1778	0	10	male	NC	16	hombre
14	14	0.005422279704362154	864	0	10	male	NC	15	vida
15	15	0.005374386440962553	1049	0	10	male	PI	14	otro
16	16	0.004777912981808186	622	0	10	male	PI	13	todo
17	17	0.0046801320277154446	852	0	10	male	PI	12	uno
18	18	0.004339342471212149	3690	0	10	male	AQ	11	diferente
19	19	0.004285055212676525	10380	0	10	male	AQ	10	mío
20	20	0.004273615777492523	9060	0	10	male	AQ	9	débil
21	21	0.0042348578572273254	1392	0	10	male	NC	8	españa
22	22	0.004215822089463472	5514	0	10	male	NC	7	cristo
23	23	0.004113754723221064	2341	0	10	male	AQ	6	español
24	24	0.004050212446600199	4197	0	10	male	AQ	5	azul
25	25	0.00370678654871881	12216	0	10	male	NC	4	mentira
26	26	0.0035839700140058994	2436	0	10	male	NC	3	luz
27	27	0.003532209899276495	11989	0	10	male	NC	2	pecado
28	28	0.0035213581286370754	419	0	10	male	RG	1	más
0	0	0.12763123214244843	6933	1	10	male	AQ	29	malo
1	1	0.052555833011865616	2562	1	10	male	AQ	28	bueno
