Visible_-,points

[MASC]	 	[FEM]	[model_name]
49	<	56	BSC-TeMU/roberta-base-bne
118	>	96	BSC-TeMU/roberta-large-bne
263	>	257	dccuchile/bert-base-spanish-wwm-uncased
58	<	119	dccuchile/bert-base-spanish-wwm-cased
141	>	56	mrm8488/electricidad-base-generator
7	<	70	MMG/mlm-spanish-roberta-base
205	>	33	bertin-project/bertin-roberta-base-spanish
103	<	136	bert-base-multilingual-cased
300	<	312	bertin-project/bertin-base-random
223	>	52	bertin-project/bertin-base-stepwise
205	>	33	bertin-project/bertin-base-gaussian
113	<	218	bertin-project/bertin-base-random-exp-512seqlen
242	>	215	bertin-project/bertin-base-stepwise-exp-512seqlen
474	<	481	bertin-project/bertin-base-gaussian-exp-512seqlen
105	<	169	amine/bert-base-5lang-cased
90	<	158	Geotrend/bert-base-es-cased
0	<	75	BSC-TeMU/RoBERTalex
293	>	179	Recognai/distilbert-base-es-multilingual-cased
415	>	338	flax-community/alberti-bert-base-multilingual-cased
329	>	199	Geotrend/distilbert-base-es-cased
