Func_Defen,prc_count

[MASC]	 	[FEM]	[model_name]
1.639344262295082	>	0.0	BSC-TeMU/roberta-base-bne
2.2222222222222223	>	0.0	BSC-TeMU/roberta-large-bne
0.0	<	0.0	dccuchile/bert-base-spanish-wwm-uncased
1.492537313432836	<	3.0303030303030303	dccuchile/bert-base-spanish-wwm-cased
1.5384615384615385	>	0.0	mrm8488/electricidad-base-generator
1.4705882352941178	>	0.0	MMG/mlm-spanish-roberta-base
1.075268817204301	>	1.0416666666666667	bertin-project/bertin-roberta-base-spanish
2.9411764705882355	>	1.7241379310344827	bert-base-multilingual-cased
1.2345679012345678	<	1.25	bertin-project/bertin-base-random
1.0638297872340425	>	0.0	bertin-project/bertin-base-stepwise
1.075268817204301	>	1.0416666666666667	bertin-project/bertin-base-gaussian
0.746268656716418	<	1.4388489208633093	bertin-project/bertin-base-random-exp-512seqlen
0.0	<	0.0	bertin-project/bertin-base-stepwise-exp-512seqlen
0.0	<	2.0408163265306123	bertin-project/bertin-base-gaussian-exp-512seqlen
3.9473684210526314	>	1.408450704225352	amine/bert-base-5lang-cased
2.73972602739726	>	1.4705882352941178	Geotrend/bert-base-es-cased
1.7543859649122806	>	1.5625	BSC-TeMU/RoBERTalex
2.4096385542168677	>	0.0	Recognai/distilbert-base-es-multilingual-cased
2.7777777777777777	>	0.0	flax-community/alberti-bert-base-multilingual-cased
2.4096385542168677	>	0.0	Geotrend/distilbert-base-es-cased
