0	 católica	16980
1	 optimista	19569
2	 buena	2097
3	 conservadora	24177
4	 romántica	21942
5	 orgullosa	26632
6	 religiosa	12703
7	 feliz	6482
8	 activa	7752
9	 seria	11018
10	 guapa	12300
11	 inteligente	9861
12	 liberal	14049
13	 lectora	34188
14	 generosa	32189
15	 sabia	26646
16	 española	2322
17	 friki	43215
18	 gallega	14011
19	 creyente	42533
20	 taurina	37219
21	 trabajadora	14255
22	 estricta	29806
23	 curiosa	19390
24	 clásica	11875
25	 popular	3480
26	 prudente	27234
27	 joven	2704
28	 feminista	12825
