Construción,count

[MASC]	 	[FEM]	[model_name]
1	>	0	BSC-TeMU/roberta-base-bne
1	>	0	BSC-TeMU/roberta-large-bne
1	<	1	dccuchile/bert-base-spanish-wwm-uncased
2	>	0	dccuchile/bert-base-spanish-wwm-cased
1	<	2	mrm8488/electricidad-base-generator
0	<	0	MMG/mlm-spanish-roberta-base
2	>	0	bertin-project/bertin-roberta-base-spanish
0	<	0	bert-base-multilingual-cased
1	<	1	bertin-project/bertin-base-random
0	<	0	bertin-project/bertin-base-stepwise
2	>	0	bertin-project/bertin-base-gaussian
2	<	2	bertin-project/bertin-base-random-exp-512seqlen
1	<	1	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
0	<	0	amine/bert-base-5lang-cased
0	<	0	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
0	<	0	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
0	<	0	Geotrend/distilbert-base-es-cased
