QTY,points

[MASC]	 	[FEM]	[model_name]
197	>	112	BSC-TeMU/roberta-base-bne
74	>	0	BSC-TeMU/roberta-large-bne
145	>	56	dccuchile/bert-base-spanish-wwm-uncased
439	>	147	dccuchile/bert-base-spanish-wwm-cased
425	>	355	mrm8488/electricidad-base-generator
306	>	293	MMG/mlm-spanish-roberta-base
1182	>	472	bertin-project/bertin-roberta-base-spanish
0	<	16	bert-base-multilingual-cased
518	>	307	bertin-project/bertin-base-random
833	>	684	bertin-project/bertin-base-stepwise
1182	>	472	bertin-project/bertin-base-gaussian
1079	>	889	bertin-project/bertin-base-random-exp-512seqlen
344	>	290	bertin-project/bertin-base-stepwise-exp-512seqlen
827	>	661	bertin-project/bertin-base-gaussian-exp-512seqlen
2	<	22	amine/bert-base-5lang-cased
5	<	23	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
0	<	4	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
0	<	4	Geotrend/distilbert-base-es-cased
