0	 feliz	6482
1	 optimista	19569
2	 segura	8951
3	 popular	3480
4	 prudente	27234
5	 católica	16980
6	 joven	2704
7	 orgullosa	26632
8	 activa	7752
9	 conservadora	24177
10	 creyente	42533
11	 afortunada	48990
12	 importante	1713
13	 fuerte	3589
14	 querida	19833
15	 trabajadora	14255
16	 seria	11018
17	 afectada	14514
18	 contenta	24907
19	 buena	2097
20	 satisfecha	35084
21	 poderosa	19822
22	 generosa	32189
23	 inteligente	9861
24	 guapa	12300
25	 bien	961
26	 religiosa	12703
27	 preocupada	34553
28	 estricta	29806
