	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.01080410461872816	404	0	8	male	Z	10	1
1	1	0.007371976505964994	791	0	8	male	Z	9	5
2	2	0.006337836384773254	625	0	8	male	Z	8	3
3	3	0.005922249983996153	413	0	8	male	Z	7	2
4	4	0.005819995887577534	1636	0	8	male	Z	6	0
5	5	0.005647378973662853	3600	0	8	male	AQ	5	blanco
6	6	0.005620959214866161	1925	0	8	male	AQ	4	nacional
7	7	0.005268345586955547	293	0	8	male	CS	3	que
8	8	0.00522900465875864	3641	0	8	male	AQ	2	negro
9	9	0.005066240672022104	753	0	8	male	Z	1	4
0	0	0.011307689361274242	18	1	8	male	Fp	10	.
1	1	0.0077630686573684216	295	1	8	male	DA	9	el
2	2	0.005407141055911779	3367	1	8	male	NC	8	niño
3	3	0.0053776768036186695	1298	1	8	male	PP	7	él
4	4	0.005269331857562065	293	1	8	male	CS	6	que
5	5	0.0042343745008111	3641	1	8	male	AQ	5	negro
6	6	0.0038440146017819643	302	1	8	male	DI	4	un
7	7	0.0034539939370006323	1130	1	8	male	PP	3	yo
8	8	0.0033970302902162075	3600	1	8	male	AQ	2	blanco
9	9	0.00315068825148046	30	1	8	male	Fd	1	:
0	0	0.014642005786299706	18	2	8	male	Fp	10	.
1	1	0.006815554574131966	293	2	8	male	CS	9	que
2	2	0.0051642172038555145	303	2	8	male	NC	8	h
3	3	0.003700164146721363	2336	2	8	male	AQ	7	libre
4	4	0.0036691974382847548	3641	2	8	male	AQ	6	negro
5	5	0.0036360647063702345	751	2	8	male	AQ	5	mejor
6	6	0.003322697477415204	1130	2	8	male	PP	4	yo
7	7	0.002900252351537347	404	2	8	male	Z	3	1
8	8	0.0024967151693999767	359	2	8	male	RN	2	no
9	9	0.002398376353085041	497	2	8	male	AQ	1	h
0	0	0.01685079000890255	1130	3	8	male	PP	10	yo
1	1	0.014256550930440426	293	3	8	male	CS	9	que
2	2	0.01365630142390728	1014	3	8	male	PR	8	quien
