0	 difícil	2955
1	 fácil	2014
2	 duro	5382
3	 complicado	7790
4	 importante	1387
5	 exigente	18543
6	 grande	2619
7	 bueno	2562
8	 necesario	2227
9	 profesional	2592
10	 divertido	8297
11	 diferente	3690
12	 sencillo	4954
13	 satisfactorio	31195
14	 práctico	10775
15	 gratificante	31041
16	 peligroso	11889
17	 caro	11023
18	 agradable	6013
19	 eficaz	6900
20	 conocido	3751
21	 buena	1692
22	 poco	1072
23	 significativo	12954
24	 desigual	10545
25	 probable	6972
26	 cómodo	7542
27	 popular	2776
28	 posible	1535
