BEHA,count

[MASC]	 	[FEM]	[model_name]
2	<	2	BSC-TeMU/roberta-base-bne
3	>	1	BSC-TeMU/roberta-large-bne
0	<	0	dccuchile/bert-base-spanish-wwm-uncased
2	>	0	dccuchile/bert-base-spanish-wwm-cased
2	>	1	mrm8488/electricidad-base-generator
2	>	1	MMG/mlm-spanish-roberta-base
0	<	1	bertin-project/bertin-roberta-base-spanish
1	>	0	bert-base-multilingual-cased
2	<	2	bertin-project/bertin-base-random
2	<	2	bertin-project/bertin-base-stepwise
0	<	1	bertin-project/bertin-base-gaussian
2	>	1	bertin-project/bertin-base-random-exp-512seqlen
5	<	5	bertin-project/bertin-base-stepwise-exp-512seqlen
2	<	2	bertin-project/bertin-base-gaussian-exp-512seqlen
1	>	0	amine/bert-base-5lang-cased
1	>	0	Geotrend/bert-base-es-cased
0	<	1	BSC-TeMU/RoBERTalex
0	<	0	Recognai/distilbert-base-es-multilingual-cased
1	<	1	flax-community/alberti-bert-base-multilingual-cased
0	<	0	Geotrend/distilbert-base-es-cased
