Salud_Social,points

[MASC]	 	[FEM]	[model_name]
21	<	137	BSC-TeMU/roberta-base-bne
0	<	45	BSC-TeMU/roberta-large-bne
0	<	10	dccuchile/bert-base-spanish-wwm-uncased
39	<	210	dccuchile/bert-base-spanish-wwm-cased
145	<	350	mrm8488/electricidad-base-generator
184	<	324	MMG/mlm-spanish-roberta-base
5	<	52	bertin-project/bertin-roberta-base-spanish
8	>	0	bert-base-multilingual-cased
15	>	9	bertin-project/bertin-base-random
0	<	7	bertin-project/bertin-base-stepwise
5	<	52	bertin-project/bertin-base-gaussian
4	<	13	bertin-project/bertin-base-random-exp-512seqlen
0	<	0	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
13	>	0	amine/bert-base-5lang-cased
11	>	0	Geotrend/bert-base-es-cased
18	>	5	BSC-TeMU/RoBERTalex
0	<	0	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
0	<	0	Geotrend/distilbert-base-es-cased
