Educación,points

[MASC]	 	[FEM]	[model_name]
1	<	134	BSC-TeMU/roberta-base-bne
0	<	45	BSC-TeMU/roberta-large-bne
80	<	143	dccuchile/bert-base-spanish-wwm-uncased
20	<	97	dccuchile/bert-base-spanish-wwm-cased
19	<	96	mrm8488/electricidad-base-generator
179	<	242	MMG/mlm-spanish-roberta-base
0	<	24	bertin-project/bertin-roberta-base-spanish
2	>	0	bert-base-multilingual-cased
0	<	1	bertin-project/bertin-base-random
42	<	69	bertin-project/bertin-base-stepwise
0	<	24	bertin-project/bertin-base-gaussian
19	<	55	bertin-project/bertin-base-random-exp-512seqlen
3	>	0	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	6	bertin-project/bertin-base-gaussian-exp-512seqlen
3	>	0	amine/bert-base-5lang-cased
2	<	15	Geotrend/bert-base-es-cased
2	>	0	BSC-TeMU/RoBERTalex
150	<	216	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
152	<	218	Geotrend/distilbert-base-es-cased
