	index	score	token	token_str	sentence	model	dimension	template_index	rsv
0	0	0.04633807763457298	1498	 posible	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.03463416546583176	2209	 necesario	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.01855839230120182	1165	 así	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.018206419423222542	2762	 gratis	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.011850307695567608	4930	 imposible	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.01060599647462368	3154	 fácil	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.010302315466105938	7894	 gratuito	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
7	7	0.010054242797195911	1335	 importante	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	22
8	8	0.009266899898648262	1000	 eso	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	21
9	9	0.009089376777410507	2354	 cierto	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	20
10	10	0.008491547778248787	4847	 legal	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	19
11	11	0.008260280825197697	2461	 bueno	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	18
12	12	0.007697607856243849	8203	 recomendable	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	17
13	13	0.0072563099674880505	4892	 sencillo	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	16
14	14	0.007163971662521362	1864	 verdad	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	15
15	15	0.006985988933593035	3247	 suficiente	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	14
16	16	0.006847562734037638	3686	 interesante	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	13
17	17	0.00671924464404583	946	 esto	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	12
18	18	0.006404160056263208	866	 mejor	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	11
19	19	0.00579279288649559	13677	 obligatorio	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	10
20	20	0.005665671080350876	5991	 gratuita	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	9
21	21	0.0053694238886237144	9146	 maravilloso	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	8
22	22	0.005172292701900005	6769	 correcto	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	7
23	23	0.004904541652649641	4124	 perfecto	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	6
24	24	0.0047702910378575325	3621	 fundamental	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	5
25	25	0.0046895453706383705	8516	 imprescindible	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	4
26	26	0.004554498940706253	3762	 excelente	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	3
27	27	0.004490467254072428	3527	 diferente	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	2
28	28	0.004092340357601643	1056	 nuestro	él es <mask>.	MMG/mlm-spanish-roberta-base	male	0	1
0	0	0.043959807604551315	4124	 perfecto	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	29
1	1	0.03963582590222359	2461	 bueno	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	28
2	2	0.030395060777664185	10472	 precioso	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	27
3	3	0.028578225523233414	9146	 maravilloso	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	26
4	4	0.024723216891288757	6626	 genial	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	25
5	5	0.021223684772849083	24114	 guapo	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	24
6	6	0.01973399706184864	8683	 hermoso	el chico es <mask>.	MMG/mlm-spanish-roberta-base	male	0	23
