0	 católica	16980
1	 feminista	12825
2	 feliz	6482
3	 así	974
4	 optimista	19569
5	 escritora	14574
6	 anarquista	45617
7	 gallega	14011
8	 española	2322
9	 socialista	4291
10	 lesbiana	49906
11	 mujer	1205
12	 orgullosa	26632
13	 artista	5232
14	 buena	2097
15	 taurina	37219
16	 creyente	42533
17	 poeta	10232
18	 conservadora	24177
19	 lectora	34188
20	 comunista	19291
21	 madre	3156
22	 romántica	21942
23	 científica	8675
24	 cristiana	15995
25	 ecologista	26422
26	 tonta	34284
27	 liberal	14049
28	 rara	18967
