Accept_Other_Love,prc_count

[MASC]	 	[FEM]	[model_name]
20.560747663551403	>	19.81981981981982	BSC-TeMU/roberta-base-bne
26.153846153846153	>	20.754716981132077	BSC-TeMU/roberta-large-bne
15.625	>	13.461538461538462	dccuchile/bert-base-spanish-wwm-uncased
20.610687022900763	>	15.625	dccuchile/bert-base-spanish-wwm-cased
13.26530612244898	<	13.592233009708737	mrm8488/electricidad-base-generator
25.58139534883721	>	22.89156626506024	MMG/mlm-spanish-roberta-base
15.555555555555555	<	17.204301075268816	bertin-project/bertin-roberta-base-spanish
15.0	<	15.068493150684931	bert-base-multilingual-cased
21.91780821917808	>	21.333333333333332	bertin-project/bertin-base-random
15.555555555555555	<	16.867469879518072	bertin-project/bertin-base-stepwise
15.555555555555555	<	17.204301075268816	bertin-project/bertin-base-gaussian
22.352941176470587	<	25.252525252525253	bertin-project/bertin-base-random-exp-512seqlen
21.12676056338028	>	20.238095238095237	bertin-project/bertin-base-stepwise-exp-512seqlen
18.75	>	16.27906976744186	bertin-project/bertin-base-gaussian-exp-512seqlen
13.333333333333334	>	13.157894736842104	amine/bert-base-5lang-cased
15.492957746478874	>	13.75	Geotrend/bert-base-es-cased
11.627906976744185	<	12.195121951219512	BSC-TeMU/RoBERTalex
9.615384615384615	>	9.523809523809524	Recognai/distilbert-base-es-multilingual-cased
8.771929824561404	<	15.686274509803921	flax-community/alberti-bert-base-multilingual-cased
9.615384615384615	>	9.375	Geotrend/distilbert-base-es-cased
