	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.018274948000907898	5036	0	12	male	AQ	10	feliz
1	1	0.011907452717423439	2738	0	12	male	NC	9	madre
2	2	0.011794619262218475	805	0	12	male	RG	8	así
3	3	0.011166447773575783	293	0	12	male	CS	7	que
4	4	0.010151010937988758	1064	0	12	male	NC	6	mujer
5	5	0.008897936902940273	3561	0	12	male	AQ	5	humano
6	6	0.008832991123199463	2562	0	12	male	AQ	4	bueno
7	7	0.008685588836669922	353	0	12	male	DI	3	una
8	8	0.008229688741266727	1014	0	12	male	PR	2	quien
9	9	0.007465904578566551	1910	0	12	male	NC	1	dios
0	0	0.07452002167701721	11841	1	12	male	AQ	10	lindo
1	1	0.060543280094861984	3849	1	12	male	AQ	9	excelente
2	2	0.05634719878435135	2562	1	12	male	AQ	8	bueno
3	3	0.03136283904314041	6131	1	12	male	NC	7	chico
4	4	0.02834290824830532	6013	1	12	male	AQ	6	agradable
5	5	0.022841159254312515	26708	1	12	male	AQ	5	simpático
6	6	0.017343327403068542	1692	1	12	male	AQ	4	buena
7	7	0.01699153520166874	4120	1	12	male	AQ	3	perfecto
8	8	0.01660829782485962	24248	1	12	male	AQ	2	guapo
9	9	0.016174640506505966	7542	1	12	male	AQ	1	cómodo
0	0	0.03963358327746391	1767	2	12	male	NC	10	familia
1	1	0.02658417448401451	2988	2	12	male	NC	9	padre
2	2	0.022457411512732506	8553	2	12	male	AQ	8	hermoso
3	3	0.018911974504590034	2562	2	12	male	AQ	7	bueno
4	4	0.018166493624448776	2738	2	12	male	NC	6	madre
5	5	0.01443609781563282	295	2	12	male	DA	5	el
6	6	0.013067338615655899	302	2	12	male	DI	4	un
7	7	0.013065868057310581	13396	2	12	male	NC	3	papá
8	8	0.012776922434568405	3849	2	12	male	AQ	2	excelente
9	9	0.012228062376379967	2987	2	12	male	NC	1	hijo
0	0	0.06063021346926689	3849	3	12	male	AQ	10	excelente
1	1	0.03483015298843384	2562	3	12	male	AQ	9	bueno
2	2	0.031959567219018936	4120	3	12	male	AQ	8	perfecto
3	3	0.02280314639210701	2889	3	12	male	AQ	7	pequeño
4	4	0.016842391341924667	2619	3	12	male	AQ	6	grande
5	5	0.014493552967905998	6327	3	12	male	AQ	5	genial
6	6	0.01417575217783451	7110	3	12	male	AQ	4	bonito
7	7	0.013650341890752316	9271	3	12	male	AQ	3	maravilloso
8	8	0.013354417867958546	10258	3	12	male	AQ	2	precioso
9	9	0.013239312916994095	25787	3	12	male	AQ	1	increible
0	0	0.023523833602666855	1767	4	12	male	NC	10	familia
1	1	0.020267540588974953	302	4	12	male	DI	9	un
2	2	0.015159258618950844	353	4	12	male	DI	8	una
3	3	0.014904635958373547	614	4	12	male	RG	7	muy
4	4	0.011678355745971203	3849	4	12	male	AQ	6	excelente
5	5	0.010985243134200573	10334	4	12	male	AQ	5	curioso
6	6	0.01051301695406437	295	4	12	male	DA	4	el
7	7	0.010193157009780407	2655	4	12	male	AQ	3	joven
8	8	0.008865068666636944	1962	4	12	male	NC	2	verdad
9	9	0.007554573938250542	9271	4	12	male	AQ	1	maravilloso
0	0	0.0480145700275898	3849	5	12	male	AQ	10	excelente
1	1	0.023191485553979874	2562	5	12	male	AQ	9	bueno
2	2	0.01313361618667841	1962	5	12	male	NC	8	verdad
3	3	0.013019395992159843	11841	5	12	male	AQ	7	lindo
4	4	0.010609667748212814	8553	5	12	male	AQ	6	hermoso
5	5	0.00973836425691843	1767	5	12	male	NC	5	familia
6	6	0.009330103173851967	4120	5	12	male	AQ	4	perfecto
7	7	0.009205100126564503	8405	5	12	male	AQ	3	tranquilo
8	8	0.009074327535927296	1414	5	12	male	NC	2	calidad
9	9	0.008299524895846844	18716	5	12	male	NC	1	humildad
0	0	0.0853651911020279	7054	6	12	male	NC	10	maestro
1	1	0.021100590005517006	18716	6	12	male	NC	9	humildad
2	2	0.016783516854047775	1962	6	12	male	NC	8	verdad
3	3	0.014521295204758644	295	6	12	male	DA	7	el
4	4	0.01111636683344841	2562	6	12	male	AQ	6	bueno
5	5	0.010609208606183529	1767	6	12	male	NC	5	familia
6	6	0.008055278100073338	2619	6	12	male	AQ	4	grande
7	7	0.007931201718747616	7883	6	12	male	AQ	3	rico
8	8	0.007016483228653669	2246	6	12	male	PP	2	usted
9	9	0.006921709049493074	1216	6	12	male	VMN	1	decir
0	0	0.07954288274049759	3849	7	12	male	AQ	10	excelente
1	1	0.03077561780810356	2562	7	12	male	AQ	9	bueno
2	2	0.020031923428177834	4120	7	12	male	AQ	8	perfecto
3	3	0.017491726204752922	8405	7	12	male	AQ	7	tranquilo
4	4	0.014400134794414043	11841	7	12	male	AQ	6	lindo
5	5	0.01388415228575468	8553	7	12	male	AQ	5	hermoso
6	6	0.011799699626863003	2014	7	12	male	AQ	4	fácil
7	7	0.010473422706127167	5995	7	12	male	AQ	3	increíble
8	8	0.009440182708203793	1962	7	12	male	NC	2	verdad
9	9	0.008550645783543587	6013	7	12	male	AQ	1	agradable
0	0	0.034699343144893646	3849	8	12	male	AQ	10	excelente
1	1	0.03356315568089485	2562	8	12	male	AQ	9	bueno
2	2	0.022532226517796516	1962	8	12	male	NC	8	verdad
3	3	0.01991124451160431	6327	8	12	male	AQ	7	genial
4	4	0.012695827521383762	5995	8	12	male	AQ	6	increíble
5	5	0.012049681507050991	9271	8	12	male	AQ	5	maravilloso
6	6	0.011684761382639408	8553	8	12	male	AQ	4	hermoso
7	7	0.01143672689795494	7110	8	12	male	AQ	3	bonito
8	8	0.010972223244607449	4120	8	12	male	AQ	2	perfecto
9	9	0.010454961098730564	295	8	12	male	DA	1	el
0	0	0.017937013879418373	3849	9	12	male	AQ	10	excelente
1	1	0.016433030366897583	302	9	12	male	DI	9	un
2	2	0.013978988863527775	4120	9	12	male	AQ	8	perfecto
3	3	0.012850304134190083	295	9	12	male	DA	7	el
4	4	0.011882689781486988	263	9	12	male	SP	6	de
5	5	0.011234013363718987	353	9	12	male	DI	5	una
6	6	0.011000948958098888	2341	9	12	male	AQ	4	español
7	7	0.008124384097754955	3653	9	12	male	AQ	3	doble
8	8	0.007492450065910816	1216	9	12	male	VMN	2	decir
9	9	0.006677727680653334	2562	9	12	male	AQ	1	bueno
0	0	0.07048698514699936	2562	10	12	male	AQ	10	bueno
