0	 sabio	29492
1	 optimista	19569
2	 bueno	3383
3	 católico	28209
4	 religioso	14817
5	 conservador	17173
6	 taurino	33353
7	 español	1033
8	 romántico	21785
9	 orgulloso	17678
10	 inteligente	9861
11	 liberal	14049
12	 creyente	42533
13	 feliz	6482
14	 listo	11294
15	 trabajador	8519
16	 generoso	30719
17	 prudente	27234
18	 rico	10176
19	 anarquista	45617
20	 friki	43215
21	 afortunado	38280
22	 popular	3480
23	 socialista	4291
24	 joven	2704
25	 bien	961
26	 cristiano	18308
27	 serio	7666
28	 cariñoso	39504
