agradable	36
alegre	12
alto	5
amable	25
arrogante	14
atento	9
bajo	8
blanco	14
bueno	67
callado	3
capaz	1
chino	9
complicado	10
corto	3
definido	12
destruido	15
determinado	5
diferente	47
distinto	26
divertido	21
divino	18
ebrio	17
enorme	4
especial	1
este	42
femenino	19
fuerte	49
gordo	21
grande	19
guapo	16
herido	1
homosexual	2
humano	44
imposible	14
inferior	2
inteligente	23
intenso	5
interesante	13
largo	20
libre	5
loco	21
masculino	22
mayor	21
misterioso	6
muerto	24
negativo	12
negro	6
normal	12
nuevo	14
peligroso	39
perdido	22
polaco	2
popular	7
posible	16
positivo	13
raro	12
retrasado	11
serio	16
severo	4
sordo	12
tranquilo	14
viejo	23
2021-09-08 09:53
