Alma	10
Bien	6
Blanca	8
Educación	7
Ella	41
Gloria	37
High	20
Latina	1
Madrid	12
Sala	2
abierta	12
activa	13
activo	13
adolescente	24
alemana	3
alma	5
alta	38
alto	7
antigua	11
baja	9
bella	23
bien	39
buena	21
canción	4
cara	1
casada	13
católica	56
chica	26
común	12
conocida	16
constante	1
cristiana	2
decir	18
definición	20
diferencia	2
diferente	8
difícil	5
ejemplo	24
ella	54
especial	6
familia	18
familiar	8
feliz	16
femenina	9
fiel	17
fuerte	46
fácil	2
física	17
grande	39
grandes	15
guitarra	19
hombres	10
homosexual	28
igual	16
importante	30
interesante	15
italiana	4
joven	1
larga	12
libre	22
madre	43
media	25
modesta	17
mucho	14
mujer	83
música	20
naturaleza	15
niña	18
niño	14
norma	9
nueva	17
pequeña	28
persona	5
pobre	55
poco	19
poderosa	22
política	24
popular	24
presente	3
primaria	8
privada	48
profesora	25
pura	3
radio	16
razón	5
real	7
religiosa	13
rural	14
rápida	14
rápido	4
secundaria	17
siempre	11
simple	31
social	84
sociedad	7
tanto	4
triste	9
vocal	24
útil	10
