Alemania	22
Argentina	8
Barcelona	20
Brasil	6
California	19
Chile	18
Colombia	12
Cuba	13
España	1
Francia	24
Guadalajara	10
Harvard	5
Holanda	4
Italia	14
Londres	23
Madrid	25
Miami	16
Monterrey	7
Suiza	11
Valencia	2
Venezuela	3
acuerdo	11
admirable	12
allí	6
ayuda	7
buena	13
calidad	9
casa	17
cerca	25
cocina	16
compleja	24
confianza	38
correcta	2
diferente	22
distinta	23
ella	19
enorme	5
escuela	10
esencial	20
espaldas	4
excelente	14
extraordinaria	9
familia	18
forma	13
fundamental	25
fábrica	11
histórica	17
importante	18
imprescindible	3
infinita	10
inmediato	48
laboratorio	14
lleno	8
lujo	41
madera	13
manera	6
maravilla	22
maravillosa	15
medicina	15
moda	17
negocios	19
noche	13
nuevo	50
oficina	5
oficio	13
placer	5
profesión	18
propia	11
pura	8
real	1
repente	2
secundaria	7
sencilla	19
simple	6
suya	7
todo	14
urgencia	20
vacaciones	22
verdad	26
verdadera	21
viaje	31
vital	16
ética	4
