Otros Copia	Love (Inv -)	Status (Inv -)	Love (Inv +)	Status (Inv +)
[???]	[Reject Other Love]	[Reject Other Status]	[Accept Other Love]	[Accept Other Status]
abandonado	aburrido	administrativo	abierta	aceptado
absoluta	afectada	ágil	abierta	acertado
absoluto	afectado	ambiciosa	abierto	admirable
abundante	agresiva	anónima	accesible	admirable
académico	agresivo	anterior	activa	aplicada
accesible	ajena	apasionado	activo	aplicado
aceptable	amarga	argentina	activos	aprobada
aceptado	anormal	argentino	adecuada	aprobado
acertado	arriesgado	artificial	adecuado	apto
activa	arrogante	asesinado	agradable	autónoma
activo	aterrador	australiano	agradable	avanzada
activos	ausente	básica	agradecido	brillante
actual	callado	básico	alegre	capacitado
acusada	confuso	belga	amable	capaz
adecuada	cruel	brasileño	amable	coherente
adecuado	débil	cansada	amistoso	competente
administrativo	desagradable	complicada	amoroso	completa
adoptada	dominante	complicado	apasionada	completo
adultos	dramática	condenada	apropiada	comprometida
aficionado	dura	corrupta	apropiado	concentrado
ágil	duro	corrupto	atenta	conocida
agradecido	estricta	costosa	atento	conocido
alegre	excesiva	costoso	atractiva	constante
alemán	excesivo	criminal	atractivo	conveniente
alemana	exigente	culpable	auténtica	cooperativa
alta	explosiva	dado	auténtico	cualificada
altas	falsa	deficiente	buena	cualificado
alternativa	falso	dependiente	buenas	cultural
alto	fría	deportivo	bueno	curiosa
altos	frío	derrotado	buenos	decisivo
amarilla	incómoda	desarrollado	cariñoso	dedicada
amarillo	indiferente	desconocido	cercano	dedicado
ambiciosa	inestable	desesperada	civil	determinada
ambiental	infantil	detenida	clara	determinado
amenazada	insoportable	detenido	claro	determinante
americana	intensa	difícil	considerada	diferente
americano	intenso	difíciles	considerado	disponible
amigas	loca	digno	contento	distinta
amistoso	loco	dinámico	correcta	distinta
amoroso	locos	directiva	correcto	económica
amplia	mala	directivo	curioso	económico
amplio	malas	directo	directa	educativo
anónima	malo	dramático	divertida	efectivo
anterior	malos	ecologista	divertido	eficaz
antigua	molesto	ejecutivo	emocionante	eficiente
antiguo	pesada	electo	encantador	ejemplar
antiguos	seria	encargada	entusiasta	esencial
apasionada	serio	encargado	equilibrada	especial
apasionado	severa	enemigo	equilibrado	espectacular
árabe	severo	enemigos	espontánea	esperada
árabe	tonta	equivocada	estable	esperado
argentina	tonto	equivocado	fácil	excelente
argentino	triste	escasa	familiar	excepcional
artificial		espantoso	felices	exitosa
asesinado		estúpido	feliz	exitoso
australiano		ético	fiable	experimentado
auténtico		europea	fiel	extraordinaria
autónoma		expresivo	flexible	famosa
autónomo		extraña	genial	famoso
avanzada		extraño	gentil	fantástico
azul		extraños	honesto	formado
baja		extrema	inocente	formal
baja		familiares	maravilloso	fresco
baja		fatal	modesta	funcional
bajo		feroz	natural	fundamental
bajo		fija	noble	ganadora
bajo		firme	optimista	generosa
bajos		flojo	original	generoso
bajos		frágil	paciente	hábil
bajos		genérico	pacífica	humilde
barata		horrible	personal	ideal
barato		ilegal	querido	idóneo
belga		implacable	romántica	imparcial
bella		imposible	romántico	impecable
bello		independientes	saludable	importante
biológica		indirecta	segura	importantes
biológico		inferior	seguro	imprescindible
blanca		ingenuo	sensible	impresionante
blanco		injusta	simpática	increíble
blancos		injusto	sincera	independiente
bonita		inmediata	tierno	indicada
bonito		inmortal	tímida	indicado
brasileña		integral	tímido	indispensable
brasileño		interino	tranquila	intelectual
breve		interna	tranquilo	inteligente
británica		inútil	única	interesante
británico		invisible	único	justa
buen		irregular	valiente	justo
buena		irresponsable	verdadero	leal
buenas		laboral		legal
bueno		legítima		legítimo
buenos		limitada		liberal
caballero		limitado		libre
caliente		literario		lista
callada		marcada		listo
cantante		mediocre		madura
capacitado		muertos		maduro
capaz		municipal		mejor
cariñoso		negativa		misterioso
caro		negativo		necesaria
casada		nerviosa		necesario
catalán		nervioso		objetivo
catalana		nula		participante
céntrica		nulo		perfecto
cercana		obrero		persistente
cercano		ofensivo		plural
cerrado		orgullosa		poderosa
china		orgulloso		poderoso
chino		oriental		popular
ciclista		oscura		populares
ciega		particular		positiva
ciego		peligrosa		positivo
científica		peligroso		práctico
científico		penoso		precisa
cierta		peor		preciso
cierto		pequeñas		preparada
civil		perdedor		preparado
clara		perdida		prestigiosa
claro		perdido		productivo
clásica		perjudicial		profesional
clásico		pesimista		profundo
coherente		pobre		puntual
colombiana		pobres		pura
comercial		polémica		puro
cómoda		poquito		rápida
cómodo		preocupada		rápido
competente		preocupado		razonable
competitiva		principales		realizada
competitivo		privilegiada		realizado
compleja		problemática		rechazado
complejo		química		recomendable
completa		racista		relevante
completo		radical		resistente
comprometida		rara		respetuoso
común		raro		responsable
comunista		raros		responsables
concedida		raros		revolucionario
concentrado		realistas		rica
concreto		rechazada		rico
confidencial		rechazado		sabio
conforme		recientes		sana
conjunto		reconocida		sano
conocida		relativo		satisfactorio
conocido		retrasado		sencilla
consciente		ridículo		sencillo
conservador		ritual		significativa
conservadora		romana		trabajadora
considerada		salvaje		transparente
considerado		sancionado		útil
constante		selectiva		válido
contento		sociales		valioso
contrario		sospechosa		valioso
contratado		suiza		valorada
convencida		terapéutico		verdadera
convencido		terrible		
conveniente		titulada		
correcta		tóxico		
correcto		tremendo		
correspondiente		variado		
corriente		torpe		
corta		violenta		
corta		violento		
corta		vulgar		
corto				
corto				
corto				
creativa				
creativo				
cristiana				
cristiano				
crítica				
críticas				
crítico				
críticos				
cualificada				
cualificado				
cubana				
cubierta				
cuidado				
cultural				
curiosa				
curioso				
dado				
danesa				
decente				
dedicada				
dedicado				
definido				
definitivo				
delicada				
deportivo				
derecha				
derecho				
desaparecida				
desarrollado				
desnudo				
destruida				
destruido				
determinada				
determinado				
determinante				
dicha				
dicho				
diferente				
diferentes				
digital				
digno				
dinámico				
directa				
directiva				
directivo				
directo				
disminuido				
disponible				
distinta				
distinto				
diversa				
diverso				
divertida				
divertido				
divina				
divino				
doble				
doméstica				
dramático				
dudoso				
ebrio				
ecologista				
económica				
económico				
educado				
educativa				
educativo				
efectiva				
efectivo				
eficaz				
eficiente				
ejecutivo				
electo				
eléctrica				
eléctrico				
electrónica				
electrónico				
elegante				
elegida				
elegido				
elemental				
elevada				
elevado				
eliminado				
emocionada				
emocionante				
enamorado				
encantador				
encarcelado				
encargada				
encargado				
encontrada				
enemigos				
enferma				
enferma				
enferma				
enorme				
entera				
entero				
entregada				
entusiasta				
equilibrada				
equilibrado				
escolar				
escrita				
escrito				
esencial				
español				
española				
españoles				
especial				
espectacular				
esperada				
esperado				
espiritual				
espontánea				
estable				
estadounidense				
este				
estéril				
eterna				
eterno				
ético				
europea				
europeo				
evidente				
exacto				
excelente				
excepcional				
exitosa				
exitoso				
experimentado				
experto				
expresivo				
extranjera				
extranjero				
extraordinaria				
fácil				
factible				
fallecido				
familiar				
familiares				
famosa				
famoso				
famosos				
fantástico				
farmacéutico				
favorable				
favorito				
felices				
feliz				
femenina				
femenino				
femenino				
femenino				
fiable				
fiel				
fija				
fijo				
fina				
finalista				
fino				
física				
físico				
flexible				
formado				
formal				
francés				
francesa				
frecuente				
fresco				
fuerte				
fuertes				
funcional				
fundamental				
futuro				
ganadora				
general				
generosa				
generoso				
genial				
gentil				
gigante				
gigante				
gigante				
global				
gorda				
gorda				
gorda				
gordo				
gordo				
gordo				
gran				
grande				
grandes				
gratuita				
grave				
gris				
guapa				
guapo				
hábil				
habitual				
hecho				
herido				
hermosa				
hermoso				
hindú				
hispanos				
histórica				
holandesa				
homosexual				
honesto				
humana				
humano				
humanos				
humilde				
ideal				
idéntico				
identificado				
idóneo				
ignorado				
igual				
ilusionado				
imparcial				
impecable				
importante				
importantes				
imprescindible				
impresionante				
improbable				
incapaz				
incondicional				
increíble				
independentista				
independiente				
independientes				
indicada				
indicado				
indirecta				
indispensable				
individual				
industrial				
influyente				
informático				
ingenuo				
inglés				
inglesa				
iniciado				
inmediata				
inocente				
insuficiente				
integral				
inteligente				
interesante				
interino				
interna				
internacional				
investigador				
investigadora				
invitado				
italiana				
italiano				
japonés				
japonesa				
joven				
jóvenes				
jubilado				
judía				
jurídica				
justa				
justificada				
justo				
laboral				
larga				
largo				
leal				
legal				
legítima				
legítimo				
lenta				
lenta				
lenta				
lento				
lento				
lento				
lesionado				
lesionado				
lesionado				
leve				
liberal				
libre				
libres				
licenciada				
ligera				
ligero				
limpia				
lindo				
lindo				
lisa				
lista				
listo				
literario				
llamada				
llamado				
