QTY,count

[MASC]	 	[FEM]	[model_name]
2	<	2	BSC-TeMU/roberta-base-bne
1	>	0	BSC-TeMU/roberta-large-bne
3	>	1	dccuchile/bert-base-spanish-wwm-uncased
2	<	2	dccuchile/bert-base-spanish-wwm-cased
2	<	2	mrm8488/electricidad-base-generator
2	<	2	MMG/mlm-spanish-roberta-base
3	<	3	bertin-project/bertin-roberta-base-spanish
0	<	0	bert-base-multilingual-cased
2	<	2	bertin-project/bertin-base-random
2	<	3	bertin-project/bertin-base-stepwise
3	<	3	bertin-project/bertin-base-gaussian
4	<	4	bertin-project/bertin-base-random-exp-512seqlen
1	<	2	bertin-project/bertin-base-stepwise-exp-512seqlen
2	<	3	bertin-project/bertin-base-gaussian-exp-512seqlen
0	<	0	amine/bert-base-5lang-cased
0	<	0	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
0	<	0	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
0	<	0	Geotrend/distilbert-base-es-cased
