Candelaria	16
Chico	9
Ciudad	2
Cocina	2
Excelente	11
Familia	17
General	22
Gracias	4
Hola	5
Junior	21
Licenciada	4
Natalia	15
Sexo	10
Todo	13
Ubicación	41
administrador	7
admirable	29
adorable	10
agradable	50
allá	3
amigos	1
antigua	15
antiguo	19
barato	17
barrio	17
bella	18
bien	69
bilingüe	20
bonita	19
bonito	22
buena	138
bueno	57
buenísima	6
calidad	12
cansada	7
casa	1
casualidad	4
chica	65
chicas	46
chico	45
chicos	28
ciudad	5
como	7
comodidad	3
compleja	17
completo	1
contenta	13
contento	17
conveniente	2
cómoda	2
cómodo	27
decir	60
descripción	16
diferente	31
difícil	107
doble	2
docente	6
duro	10
débil	13
ella	19
encantadora	20
español	9
estudiantes	15
excelente	117
extraño	11
familia	99
familiar	23
fantástica	1
fascinante	1
feliz	5
fuerte	19
full	8
fácil	40
general	47
genial	36
gente	13
grande	81
gratamente	8
gratificante	3
hermosa	95
hermoso	53
humano	21
importante	63
impresionante	53
increible	12
increíble	106
inglés	7
inteligente	21
interesante	12
joven	35
latina	34
lenta	10
lento	8
limpieza	9
limpio	7
linda	20
lindo	9
loca	22
madre	38
maravillosa	93
maravilloso	20
mejor	4
moderna	16
mucho	19
mujer	48
mujeres	19
nada	12
normal	38
nueva	6
nuevo	61
orden	8
pareja	19
peligrosa	23
pequeña	22
pequeño	13
perfecta	60
perfecto	36
permanente	4
pero	22
persona	4
personal	19
personas	19
poco	21
poderosa	2
posible	12
positivo	14
precio	20
preciosa	25
precioso	11
profesional	22
pronto	25
rapido	3
rara	5
raro	1
realmente	8
responsable	10
rica	9
rápidamente	16
rápido	28
saludable	3
sencillo	23
siempre	23
simple	43
simples	2
social	16
sorprendente	21
tador	2
tarde	18
todas	17
todo	89
todos	21
trabajadora	10
trabajo	4
ubicacion	9
ubicación	31
usted	60
usuario	14
vecinos	6
verdad	34
vieja	4
viejo	4
vulnerable	6
única	17
