	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
0	0	0.010019258596003056	16242	decir	él es decir.	él es [MASK].	amine/bert-base-5lang-cased	male	VMN	29
1	1	0.006405635736882687	18792	contrario	él es contrario.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.006207024212926626	107	¡	él es ¡.	él es [MASK].	amine/bert-base-5lang-cased	male	Faa	27
3	3	0.006021395325660706	17877	demo	él es demo.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	26
4	4	0.005323005374521017	100	x	él es x.	él es [MASK].	amine/bert-base-5lang-cased	male	NC	25
5	5	0.0043010711669921875	10262	dir	él es dir.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.0041191172786056995	30585	cierto	él es cierto.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.003961289767175913	10232	pag	él es pag.	él es [MASK].	amine/bert-base-5lang-cased	male	NC	22
8	8	0.00391847500577569	11313	libre	él es libre.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	21
9	9	0.003860212629660964	13990	posible	él es posible.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	20
10	10	0.0036939254496246576	6653	es	él es es.	él es [MASK].	amine/bert-base-5lang-cased	male	VSI	19
11	11	0.0033738156780600548	6911	más	él es más.	él es [MASK].	amine/bert-base-5lang-cased	male	RG	18
12	12	0.0031916399020701647	28	/	él es /.	él es [MASK].	amine/bert-base-5lang-cased	male	NC	17
13	13	0.0030296698678284883	24505	libres	él es libres.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	16
14	14	0.0029696288984268904	9370	él	él es él.	él es [MASK].	amine/bert-base-5lang-cased	male	PP	15
15	15	0.0029645892791450024	6584	el	él es el.	él es [MASK].	amine/bert-base-5lang-cased	male	DA	14
16	16	0.0029121909756213427	7926	bien	él es bien.	él es [MASK].	amine/bert-base-5lang-cased	male	RG	13
17	17	0.002773066284134984	31107	ciudadanos	él es ciudadanos.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	12
18	18	0.0027210956905037165	6623	al	él es al.	él es [MASK].	amine/bert-base-5lang-cased	male	SP	11
19	19	0.0025840154848992825	23732	uu	él es UU.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	10
20	20	0.0025660444516688585	10436	simple	él es simple.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	9
21	21	0.002507333643734455	8663	así	él es así.	él es [MASK].	amine/bert-base-5lang-cased	male	RG	8
22	22	0.002505732234567404	7096	##co	él esco.	él es [MASK].	amine/bert-base-5lang-cased	male	NC	7
23	23	0.0024731429293751717	6642	por	él es por.	él es [MASK].	amine/bert-base-5lang-cased	male	SP	6
24	24	0.0024686306715011597	119	¹	él es ¹.	él es [MASK].	amine/bert-base-5lang-cased	male	NC	5
25	25	0.002444565761834383	11147	político	él es político.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	4
26	26	0.002416781382635236	8237	otros	él es otros.	él es [MASK].	amine/bert-base-5lang-cased	male	PI	3
27	27	0.002307512564584613	47858	##lativo	él eslativo.	él es [MASK].	amine/bert-base-5lang-cased	male	NC	2
28	28	0.002283490030094981	7500	solo	él es solo.	él es [MASK].	amine/bert-base-5lang-cased	male	AQ	1
0	0	0.013013959862291813	16242	decir	el chico es decir.	el chico es [MASK].	amine/bert-base-5lang-cased	male	VMN	29
1	1	0.010095334611833096	26204	buen	el chico es buen.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	28
2	2	0.009572867304086685	107	¡	el chico es ¡.	el chico es [MASK].	amine/bert-base-5lang-cased	male	Faa	27
3	3	0.007733901962637901	7926	bien	el chico es bien.	el chico es [MASK].	amine/bert-base-5lang-cased	male	RG	26
4	4	0.0068168737925589085	13154	vocal	el chico es vocal.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	25
5	5	0.006744564510881901	10436	simple	el chico es simple.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	24
6	6	0.006301283370703459	9972	alto	el chico es alto.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	23
7	7	0.0056744227185845375	8288	popular	el chico es popular.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	22
8	8	0.005438013933598995	113	«	el chico es «.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	21
9	9	0.004902182146906853	27965	##pec	el chico espec.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	20
10	10	0.004784879740327597	12882	puesto	el chico es puesto.	el chico es [MASK].	amine/bert-base-5lang-cased	male	AQ	19
