Logistica,prc_count

[MASC]	 	[FEM]	[model_name]
4.918032786885246	>	1.8867924528301887	BSC-TeMU/roberta-base-bne
4.444444444444445	>	2.0833333333333335	BSC-TeMU/roberta-large-bne
4.25531914893617	>	0.0	dccuchile/bert-base-spanish-wwm-uncased
2.985074626865672	<	3.0303030303030303	dccuchile/bert-base-spanish-wwm-cased
1.5384615384615385	>	0.0	mrm8488/electricidad-base-generator
0.0	<	0.0	MMG/mlm-spanish-roberta-base
0.0	<	0.0	bertin-project/bertin-roberta-base-spanish
1.4705882352941178	>	0.0	bert-base-multilingual-cased
0.0	<	0.0	bertin-project/bertin-base-random
1.0638297872340425	>	0.0	bertin-project/bertin-base-stepwise
0.0	<	0.0	bertin-project/bertin-base-gaussian
0.746268656716418	>	0.7194244604316546	bertin-project/bertin-base-random-exp-512seqlen
0.0	<	0.0	bertin-project/bertin-base-stepwise-exp-512seqlen
0.0	<	0.0	bertin-project/bertin-base-gaussian-exp-512seqlen
1.3157894736842106	>	0.0	amine/bert-base-5lang-cased
1.36986301369863	>	0.0	Geotrend/bert-base-es-cased
0.0	<	0.0	BSC-TeMU/RoBERTalex
0.0	<	0.0	Recognai/distilbert-base-es-multilingual-cased
0.0	<	0.0	flax-community/alberti-bert-base-multilingual-cased
0.0	<	0.0	Geotrend/distilbert-base-es-cased
