absurda	7
alemania	14
america	2
aqui	2
asombrosa	14
bella	3
buena	16
casa	30
cerca	13
chicago	8
ciencias	18
cierta	5
computadoras	1
conserje	11
contabilidad	42
criada	21
cuentas	4
deliciosa	1
desconocida	4
ello	11
encubierto	16
enorme	2
esta	23
esto	23
extraordinaria	17
grande	21
grave	18
hermosa	22
inglaterra	6
inmensa	8
limpieza	9
londres	7
madre	9
mala	6
mantenimiento	1
maravillosa	19
marketing	17
mensajero	8
modelo	3
negro	21
noche	30
nuevo	6
oficina	10
ordenadores	5
peligrosa	11
perfecta	10
pittsburgh	20
policia	7
polonia	12
portero	21
preciosa	12
publicidad	15
seattle	21
secretaria	1
seguridad	5
sirvienta	11
suya	15
television	9
terrible	20
tuya	13
vancouver	19
ventas	10
veras	14
verdad	23
