	index	score	token	token_str	sentence	model	dimension	rsv
0	0	0.10438128560781479	16694	otro	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.09020920842885971	14370	él	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.038440510630607605	27435	Dios	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.03132152184844017	12655	todo	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.02762802504003048	24151	hombre	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.024145737290382385	13672	yo	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.02374488301575184	17786	libre	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.01697554625570774	52077	muerto	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.0156562440097332	75036	nuestro	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.014646247029304504	11564	también	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.014144264161586761	100898	feliz	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.014021818526089191	11381	uno	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.01208836492151022	18345	mejor	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.011872095987200737	22536	siempre	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.011863460764288902	25235	hoy	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.01180143654346466	85777	tú	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.011505743488669395	18142	amor	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.011096282862126827	18391	poeta	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.00963630061596632	15121	ella	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.008646257221698761	60024	cierto	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.007883302867412567	61816	mañana	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.007178945001214743	89729	nadie	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.006434010807424784	36403	éste	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.006369452457875013	36579	aquí	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.006315814796835184	10543	más	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.0058514997363090515	86163	verdadero	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.005232659634202719	85350	poderoso	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.005178044084459543	79381	verdad	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.005006533116102219	29291	ahora	él es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.09294199198484421	16694	otro	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.04180951789021492	18345	mejor	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.026556380093097687	84988	pobre	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.024877749383449554	86948	##pía	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.02208958938717842	87478	amarillo	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.02002100832760334	14370	él	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.01797112077474594	31481	negro	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.017563093453645706	50289	niño	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.01546879205852747	86163	verdadero	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.015177413821220398	11381	uno	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.013062953017652035	52077	muerto	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.012881518341600895	10543	más	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.01123255118727684	34989	malo	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.011193204671144485	34488	blanco	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.009402262978255749	31040	pequeño	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.00851902924478054	28491	joven	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.008426670916378498	91914	loco	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.008385522291064262	23100	verde	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.007850432768464088	81816	flexible	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.007347952574491501	89775	viejo	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.00715899933129549	100898	feliz	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.007153754588216543	36403	éste	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.007074275519698858	24151	hombre	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.006902002729475498	30607	fiel	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.006829621735960245	70056	##conde	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.006314509082585573	105034	cruel	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.006178684066981077	25721	enorme	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.006061541382223368	60024	cierto	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.006011984311044216	18391	poeta	el chico es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.12413130700588226	16694	otro	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.07841154932975769	52077	muerto	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.029694560915231705	11381	uno	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.028918452560901642	50289	niño	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.026383046060800552	14370	él	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.02160913497209549	24151	hombre	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.014288563281297684	18611	hijo	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.013116137124598026	34989	malo	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.013002504594624043	86948	##pía	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.011956349946558475	13703	padre	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.01176727470010519	16282	madre	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.011677054688334465	75036	nuestro	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.011018184013664722	89775	viejo	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.010368136689066887	49267	amante	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.010350368916988373	17786	libre	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.009547203779220581	36403	éste	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.008771528489887714	18391	poeta	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.008632770739495754	24033	mujer	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.008249688893556595	27435	Dios	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.008022445254027843	84988	pobre	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.007498465478420258	87478	amarillo	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.0074260118417441845	85350	poderoso	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.007286854088306427	100898	feliz	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.0069738877937197685	70056	##conde	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.006763737183064222	18345	mejor	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.006573318503797054	11439	grande	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.006553582847118378	18961	rey	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.006293518468737602	28491	joven	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.005748020019382238	28479	fuerte	el padre es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.2635830342769623	16694	otro	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.15092596411705017	27034	hermano	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.017716651782393456	36403	éste	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.01683887653052807	14370	él	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
4	4	0.015444929711520672	11381	uno	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	25
5	5	0.014949937351047993	52077	muerto	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	24
6	6	0.013792283833026886	75024	enemigo	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	23
7	7	0.011721925809979439	17786	libre	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	22
8	8	0.009389047510921955	27989	amigo	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	21
9	9	0.008652706630527973	13672	yo	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	20
10	10	0.007762721739709377	75036	nuestro	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	19
11	11	0.007291140500456095	31040	pequeño	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	18
12	12	0.0072643146850168705	18391	poeta	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	17
13	13	0.007066006772220135	85350	poderoso	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	16
14	14	0.006075594108551741	11439	grande	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	15
15	15	0.006019802298396826	32857	alcalde	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	14
16	16	0.005478575825691223	86948	##pía	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	13
17	17	0.005245999898761511	89729	nadie	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	12
18	18	0.004995393566787243	49267	amante	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	11
19	19	0.004894787911325693	18345	mejor	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	10
20	20	0.004465242847800255	10543	más	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	9
21	21	0.0044197156094014645	11686	Juan	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	8
22	22	0.004316048696637154	34989	malo	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	7
23	23	0.00430692033842206	28479	fuerte	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	6
24	24	0.004135475493967533	50289	niño	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	5
25	25	0.004132422152906656	88111	asesinado	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	4
26	26	0.003633229760453105	26402	morir	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	3
27	27	0.0035062835086137056	11564	también	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	2
28	28	0.0034876810386776924	10125	el	el hermano es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	1
0	0	0.14156892895698547	14370	él	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	29
1	1	0.10047609359025955	16694	otro	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	28
2	2	0.09462938457727432	52077	muerto	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	27
3	3	0.04877062514424324	11686	Juan	mi abuelo es [MASK].	flax-community/alberti-bert-base-multilingual-cased	male	26
