0	...	527
1	.	68
2	:	80
3	 [...]	2570
4	....	1430
5	?	85
6	..	420
7	!	55
8	.....	7877
9	......	8813
10	...?	26315
11	,	66
12	.......	20022
13	...]]>	27631
14	!!!	3814
15	:.	35598
16	..."	11929
17	!!	1244
18	???	15651
19	!!!!	5615
20	:...	27951
21	 (...)	11134
22	;	81
23	[...]	20156
24	........	4668
25	..........	41385
26	 [..]	34091
27	 |	999
28	...:	46370
29	??	4064
30	...,	12693
31	.........	30932
32	,...	5007
33	 "...	24634
34	 *	2900
35	!!!!!	18342
36	 "	442
37	:)	9011
38	...!	36816
39	 -	632
40	...".	22309
41	".	677
42	."	5524
43	?.	6669
44	.:	11420
45	...)	6338
46	????	12349
47	 >>	15973
48	?...	17414
49	 [+]	9214
