MIND,points

[MASC]	 	[FEM]	[model_name]
83	>	71	BSC-TeMU/roberta-base-bne
85	<	115	BSC-TeMU/roberta-large-bne
67	<	96	dccuchile/bert-base-spanish-wwm-uncased
71	<	100	dccuchile/bert-base-spanish-wwm-cased
5	>	0	mrm8488/electricidad-base-generator
10	<	79	MMG/mlm-spanish-roberta-base
0	<	0	bertin-project/bertin-roberta-base-spanish
0	<	0	bert-base-multilingual-cased
9	<	9	bertin-project/bertin-base-random
0	<	0	bertin-project/bertin-base-stepwise
0	<	0	bertin-project/bertin-base-gaussian
0	<	0	bertin-project/bertin-base-random-exp-512seqlen
0	<	5	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
0	<	0	amine/bert-base-5lang-cased
0	<	0	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
0	<	0	Recognai/distilbert-base-es-multilingual-cased
52	>	14	flax-community/alberti-bert-base-multilingual-cased
0	<	0	Geotrend/distilbert-base-es-cased
