0	...	527
1	.	68
2	 [...]	2570
3	 [..]	34091
4	..	420
5	:	80
6	 (...)	11134
7	....	1430
8	,	66
9	......	8813
10	!	55
11	.....	7877
12	...]]>	27631
13	,...	5007
14	..."	11929
15	[...]	20156
16	;	81
17	!!	1244
18	.........	30932
19	:.	35598
20	!!!	3814
21	?	85
22	".	677
23	:)	9011
24	 [+]	9214
25	 "...	24634
26	 [	1188
27	."	5524
28	.......	20022
29	 >	3376
30	........	4668
31	 "	442
32	 [...	35627
33	...,	12693
34	!.	13420
35	..........	41385
36	».	3021
37	"	56
38	;)	13640
39	 +	2821
40	&	60
41	!!!!	5615
42	 -	632
43	...)	6338
44	 €.	22690
45	 ***	15435
46	,.	20134
47	]	115
48	 *	2900
49	+	65
