	index	score	token	sentence	model	dimension	pos_tag	rsv	word
0	0	0.08016668260097504	3	0	3	male	NC	29	[unk]
1	1	0.020462505519390106	10133	0	3	male	NC	28	mr
2	2	0.01454568188637495	4208	0	3	male	NC	27	dr
3	3	0.014270724728703499	2895	0	3	male	AQ	26	mío
4	4	0.011609791778028011	1009	0	3	male	Fp	25	.
5	5	0.010492555797100067	2536	0	3	male	AQ	24	bueno
6	6	0.009872766211628914	4945	0	3	male	AQ	23	humano
7	7	0.009610684588551521	1778	0	3	male	NC	22	sr
8	8	0.009112482890486717	6719	0	3	male	AQ	21	perfecto
9	9	0.007808750029653311	3762	0	3	male	AQ	20	joven
10	10	0.006822985131293535	1506	0	3	male	RG	19	así
11	11	0.006214668042957783	9814	0	3	male	AQ	18	gay
12	12	0.00620213383808732	3506	0	3	male	AQ	17	fuerte
13	13	0.006052530370652676	4758	0	3	male	AQ	16	diferente
14	14	0.005850000772625208	3178	0	3	male	AQ	15	libre
15	15	0.00556713854894042	1467	0	3	male	PP	14	yo
16	16	0.005263250786811113	4464	0	3	male	AQ	13	feliz
17	17	0.0051795621402561665	8148	0	3	male	AQ	12	hermoso
18	18	0.005149380303919315	5131	0	3	male	AQ	11	normal
19	19	0.00509706512093544	4271	0	3	male	AQ	10	médico
20	20	0.005008215084671974	3591	0	3	male	AQ	9	pequeño
21	21	0.004914894700050354	4086	0	3	male	AQ	8	inglés
22	22	0.0048410710878670216	1962	0	3	male	AQ	7	nuevo
23	23	0.004834272898733616	10025	0	3	male	AQ	6	inocente
24	24	0.004660914186388254	12355	0	3	male	AQ	5	japonés
25	25	0.004551800433546305	1040	0	3	male	DA	4	el
26	26	0.004532340448349714	1611	0	3	male	PP	3	él
27	27	0.004297114908695221	3411	0	3	male	AQ	2	grande
28	28	0.004183187615126371	5499	0	3	male	AQ	1	negro
0	0	0.05446821078658104	3	1	3	male	AQ	29	[unk]
1	1	0.04469383880496025	2895	1	3	male	AQ	28	mío
2	2	0.028126396238803864	2536	1	3	male	AQ	27	bueno
3	3	0.020897457376122475	10025	1	3	male	AQ	26	inocente
