0	 importante	1335
1	 interesante	3686
2	 amable	9276
3	 profesional	2497
4	 positiva	8165
5	 sensible	12274
6	 competente	12727
7	 paciente	5204
8	 buena	1629
9	 sencilla	5769
10	 joven	2546
11	 recomendable	8203
12	 atractiva	13981
13	 valiosa	19840
14	 eficaz	6696
15	 responsable	3651
16	 inteligente	8185
17	 demandada	29068
18	 experta	18938
19	 afortunada	43353
20	 acertada	21851
21	 preocupada	28648
22	 implicada	42597
23	 pertinente	19417
24	 cercana	8998
25	 agradable	5871
26	 educada	37535
27	 interesada	19366
28	 abogada	24054
