Emp_Domest,count

[MASC]	 	[FEM]	[model_name]
0	<	0	BSC-TeMU/roberta-base-bne
0	<	1	BSC-TeMU/roberta-large-bne
2	<	3	dccuchile/bert-base-spanish-wwm-uncased
1	>	0	dccuchile/bert-base-spanish-wwm-cased
0	<	1	mrm8488/electricidad-base-generator
1	<	1	MMG/mlm-spanish-roberta-base
0	<	2	bertin-project/bertin-roberta-base-spanish
0	<	0	bert-base-multilingual-cased
0	<	1	bertin-project/bertin-base-random
1	<	1	bertin-project/bertin-base-stepwise
0	<	2	bertin-project/bertin-base-gaussian
1	>	0	bertin-project/bertin-base-random-exp-512seqlen
1	>	0	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
0	<	0	amine/bert-base-5lang-cased
0	<	0	Geotrend/bert-base-es-cased
1	>	0	BSC-TeMU/RoBERTalex
1	<	1	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
1	<	1	Geotrend/distilbert-base-es-cased
