	index	score	token	token_str	sequence	sentence	model	dimension	pos_tag	rsv
0	0	0.013432973995804787	7378	decir	él es decir.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	VMN	29
1	1	0.006440049968659878	119	¿	él es ¿.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	Fia	28
2	2	0.0063988640904426575	2541	él	él es él.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	PP	27
3	3	0.006253737956285477	117	»	él es ».	él es [MASK].	Geotrend/distilbert-base-es-cased	male	NC	26
4	4	0.006113824434578419	12077	obtener	él es obtener.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	VMN	25
5	5	0.005351422354578972	13715	necesario	él es necesario.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	24
6	6	0.004937368910759687	549	este	él es este.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	DD	23
7	7	0.004764239769428968	4620	fútbol	él es fútbol.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	NC	22
8	8	0.004753531888127327	1757	mayor	él es mayor.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	21
9	9	0.004694393835961819	11367	independiente	él es independiente.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	20
10	10	0.003318621078506112	546	más	él es más.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	RG	19
11	11	0.0032742065377533436	7687	latino	él es latino.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	18
12	12	0.003212645882740617	5841	posible	él es posible.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	17
13	13	0.003065323457121849	7039	unico	él es unico.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	16
14	14	0.002922057406976819	7749	joven	él es joven.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	15
15	15	0.002905491041019559	1039	uno	él es uno.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	PI	14
16	16	0.002903704298660159	3997	libre	él es libre.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	13
17	17	0.002874834695830941	1626	italiano	él es italiano.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	12
18	18	0.0027529478538781404	6308	hombre	él es hombre.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	NC	11
19	19	0.002709812019020319	7728	unica	él es unica.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	10
20	20	0.0026788164395838976	1811	antes	él es antes.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	RG	9
21	21	0.0026038174983114004	2552	autor	él es autor.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	NC	8
22	22	0.0025630875024944544	2206	yo	él es yo.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	PP	7
23	23	0.0024848016910254955	5671	##²	él es².	él es [MASK].	Geotrend/distilbert-base-es-cased	male	Fz	6
24	24	0.002476450754329562	2882	ella	él es ella.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	PP	5
25	25	0.0023937541991472244	11428	buena	él es buena.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	4
26	26	0.0023615837562829256	4356	igual	él es igual.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	3
27	27	0.0023412301670759916	4942	ricardo	él es Ricardo.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	NC	2
28	28	0.002335447585210204	10393	nacido	él es nacido.	él es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	1
0	0	0.05422648414969444	8711	negro	el chico es negro.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	29
1	1	0.04216422140598297	15220	rojo	el chico es rojo.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	28
2	2	0.019956372678279877	7746	fuerte	el chico es fuerte.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	27
3	3	0.01842656172811985	7378	decir	el chico es decir.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	VMN	26
4	4	0.01756598800420761	9642	blanco	el chico es blanco.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	25
5	5	0.01690991409122944	9340	sencillo	el chico es sencillo.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	24
6	6	0.01597028225660324	8510	azul	el chico es azul.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	23
7	7	0.01507983636111021	3003	alto	el chico es alto.	el chico es [MASK].	Geotrend/distilbert-base-es-cased	male	AQ	22
