0	.	68
1	:	80
2	...	527
3	,	66
4	?	85
5	 [...]	2570
6	;	81
7	..	420
8	!	55
9	....	1430
10	...]]>	27631
11	:.	35598
12	 (...)	11134
13	".	677
14	......	8813
15	"	56
16	.....	7877
17	,...	5007
18	[...]	20156
19	."	5524
20	,.	20134
21	 |	999
22	..."	11929
23	?.	6669
24	)	63
25	 "	442
26	 	275
27	:...	27951
28	 [..]	34091
29	.......	20022
30	 >	3376
31	??	4064
32	...?	26315
33	).	951
34	 -	632
35	 "...	24634
36	.:	11420
37	.........	30932
38	 ".	28705
39	 /	2220
40	..........	41385
41	!!	1244
42	'	61
43	!!!	3814
44	???	15651
45	 [+]	9214
46	-	67
47	 &	4964
48	.)	7200
49	........	4668
