0	homosexual	24184
1	católico	19718
2	gay	9814
3	muerto	3435
4	alcohólico	29010
5	casado	9525
6	cristiano	15911
7	soltero	21264
8	comunista	16813
9	religioso	13224
10	independiente	5414
11	musulmán	26198
12	fallecido	17731
13	biológico	24196
14	santo	11112
15	adoptado	7361
16	judío	13711
17	libre	3178
18	extraño	5888
19	enfermo	8434
20	sordo	25945
21	ausente	24001
22	sacerdote	11658
23	conservador	23679
24	responsable	5085
25	desconocido	14005
26	estadounidense	4938
27	negro	5499
28	incapaz	18157
