	index	score	token	token_str	sentence	model	dimension	rsv
0	0	0.03083379939198494	2858	 amor	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	29
1	1	0.023775305598974228	1379	 Pa	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	28
2	2	0.013649259693920612	275	 	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	27
3	3	0.012986114248633385	3170	 interior	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	26
4	4	0.010051288641989231	461	 D	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	25
5	5	0.009585739113390446	2192	 familia	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	24
6	6	0.008624915033578873	379	 C	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	23
7	7	0.0085762282833457	9232	 amistad	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	22
8	8	0.00827364344149828	320	 a	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	21
9	9	0.008174383081495762	11505	 emoción	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	20
10	10	0.007946128956973553	3534	 padre	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	19
11	11	0.00724829314276576	395	 P	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	18
12	12	0.007144743576645851	920	 día	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	17
13	13	0.006568902637809515	737	 mi	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	16
14	14	0.006330085452646017	1021	 mayor	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	15
15	15	0.005845178384333849	3069	 alto	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	14
16	16	0.005651181563735008	400	 A	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	13
17	17	0.005518671590834856	1123	 trabajo	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	12
18	18	0.005437259562313557	3838	 grande	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	11
19	19	0.0053622000850737095	8562	 felicidad	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	10
20	20	0.005041627213358879	3169	 arte	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	9
21	21	0.004591644741594791	4035	 pareja	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	8
22	22	0.004568233620375395	7744	 MA	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	7
23	23	0.004402891267091036	665	 todo	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	6
24	24	0.004290738143026829	463	 G	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	5
25	25	0.004195822402834892	3589	 fuerte	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	4
26	26	0.0040300991386175156	584	 H	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	3
27	27	0.003987708128988743	961	 bien	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	2
28	28	0.003715931437909603	2758	 cierto	él es <mask>.	bertin-project/bertin-roberta-base-spanish	male	1
0	0	0.029010841622948647	1021	 mayor	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	29
1	1	0.022697674110531807	395	 P	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	28
2	2	0.02198457531630993	316	 p	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	27
3	3	0.02171916514635086	3334	 difícil	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	26
4	4	0.014663220383226871	2858	 amor	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	25
5	5	0.014104493893682957	5639	 imposible	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	24
6	6	0.012918347492814064	716	 3	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	23
7	7	0.012653994373977184	480	 2	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	22
8	8	0.011532146483659744	320	 a	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	21
9	9	0.011022199876606464	275	 	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	20
10	10	0.010193946771323681	481	 1	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	19
11	11	0.010116546414792538	461	 D	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	18
12	12	0.00904643815010786	1205	 mujer	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	17
13	13	0.00873485766351223	3534	 padre	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	16
14	14	0.00811685062944889	1033	 español	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	15
15	15	0.007620771881192923	344	 el	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	14
16	16	0.007258543744683266	311	 d	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	13
17	17	0.006992999464273453	3838	 grande	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	12
18	18	0.006747303530573845	3069	 alto	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	11
19	19	0.006511731073260307	379	 C	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	10
20	20	0.006429584696888924	1175	 K	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	9
21	21	0.00610205577686429	972	 5	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	8
22	22	0.005763178691267967	4035	 pareja	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	7
23	23	0.005759222898632288	6002	 duro	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	6
24	24	0.005443744361400604	840	 mejor	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	5
25	25	0.005354851018637419	922	 4	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	4
26	26	0.005254003684967756	665	 todo	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	3
27	27	0.005071882624179125	463	 G	el chico es <mask>.	bertin-project/bertin-roberta-base-spanish	male	2
