0	.	68
1	...	527
2	:	80
3	 [...]	2570
4	....	1430
5	..	420
6	,...	5007
7	,	66
8	......	8813
9	[...]	20156
10	 (...)	11134
11	.....	7877
12	 [..]	34091
13	:.	35598
14	;	81
15	?	85
16	...]]>	27631
17	:...	27951
18	 |	999
19	!	55
20	...:	46370
21	...?	26315
22	..."	11929
23	.......	20022
24	."	5524
25	...,	12693
26	".	677
27	 /	2220
28	.........	30932
29	 [+]	9214
30	 "...	24634
31	........	4668
32	 >	3376
33	.:	11420
34	 =	7900
35	 -	632
36	 "	442
37	».	3021
38	::	10338
39	"	56
40	 *	2900
41	..........	41385
42	 +	2821
43	...'	20412
44	...)	6338
45	'.	3023
46	?.	6669
47	 <	24298
48	 	275
49	 [...	35627
