Agric_Caza,count

[MASC]	 	[FEM]	[model_name]
1	>	0	BSC-TeMU/roberta-base-bne
0	<	0	BSC-TeMU/roberta-large-bne
1	>	0	dccuchile/bert-base-spanish-wwm-uncased
1	>	0	dccuchile/bert-base-spanish-wwm-cased
1	>	0	mrm8488/electricidad-base-generator
0	<	0	MMG/mlm-spanish-roberta-base
0	<	0	bertin-project/bertin-roberta-base-spanish
2	<	2	bert-base-multilingual-cased
0	<	0	bertin-project/bertin-base-random
0	<	0	bertin-project/bertin-base-stepwise
0	<	0	bertin-project/bertin-base-gaussian
0	<	0	bertin-project/bertin-base-random-exp-512seqlen
0	<	0	bertin-project/bertin-base-stepwise-exp-512seqlen
0	<	0	bertin-project/bertin-base-gaussian-exp-512seqlen
2	<	2	amine/bert-base-5lang-cased
2	<	2	Geotrend/bert-base-es-cased
0	<	0	BSC-TeMU/RoBERTalex
1	>	0	Recognai/distilbert-base-es-multilingual-cased
0	<	0	flax-community/alberti-bert-base-multilingual-cased
1	>	0	Geotrend/distilbert-base-es-cased
